Внутренний идентификатор;Снимаем;Реестровый номер с площадки;Название;Дата публикации в системе;Дата окончания;Цена;Валюта;Заказчик;ИНН заказчика;Площадка;Ссылка на тендер;Регион;Документация
71986826588;0;165316;165316 Открытый запрос предложений на право заключения договора на выполнение аварийно-восстановительных работ на линиях связи и оборудовании ВОЛС, СКС, БШПД для предоставления услуг корпоративным клиентам на территории регионов Поволжья в 2022-2024г.г.;24.10.2022 14:11;08.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54119;город Москва;
71986826589;0;164848;164848 Открытый запрос предложений на право заключения договора на выполнение аварийно-восстановительных работ на линиях связи и оборудовании ВОЛС, СКС, БШПД для предоставления услуг корпоративным клиентам на территории регионов Сибири в 2022-2024г.г.;24.10.2022 14:11;08.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54122;город Москва;
71986962746;0;3132801;Запрос предложений № 3132801 Опция 2-SOTI MobiControl подписка, пакетное предложение с вкл. компонентами:расширенная поддержка (24/7,рус. яз.)выделенный Тех. аккаунт менеджер (8/5, рус. яз.)доп. расширения для реализации нативной системы Helpdesk и Аналит. отчетности (Xsight) SOTI ONE Platform – Hybrid Bundle B10 (MC-Xsight-ES);24.10.2022 16:02;27.10.2022 16:00;-;RUB;"ПАО ""МТС"" 7740000076";7740000076;www.b2b-center.ru;https://www.b2b-center.ru/market/view.html?id=3132801;город Москва;
71986972519;1;3132498;Запрос предложений № 3132498 Закупка производится по ЛОТу целиком. Закупка IT оборудования;24.10.2022 16:02;28.10.2022 16:00;-;RUB;ООО «МТС ДИДЖИТАЛ» 7707767501;7707767501;www.b2b-center.ru;https://www.b2b-center.ru/market/view.html?id=3132498;город Москва;
71987026480;0;166356;166356 Физическая охрана объектов МТС в ЦФО;24.10.2022 16:51;28.10.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54128;город Москва;
71987141576;1;SBR028-2210240023;Выбор поставщика на поставку расходных материалов, комплектующих, оборудования в соответствии со Спецификацией;24.10.2022 18:10;31.10.2022 14:00;-;RUB;"АО ""НСПК"" 7706812159";7706812159;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/1055431;город Москва;
71987188846;1;;166268,1 Уведомление о создании поправки к уведомлению о проведении открытого запроса предложений (ОЗП) на выбор агентства по организации мероприятия «Бизнес-клуб МТТ» (Торги 166268,1);24.10.2022 18:51;03.11.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54134;город Москва;
71988047627;1;165300-3;165300-3 Уведомление о проведении открытого запроса предложений по внедрению системы управления тестированием (TMS). Торги 165300-3;25.10.2022 5:51;28.10.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54136;город Москва;
71988128957;1;166431;166431 166431 Уведомление о продлении срока проведения запроса информации на поставку патч-панели, коммутаторов г. Вологда;25.10.2022 6:50;31.10.2022 0:00;-;RUB;ПАО «МТС»;7740000076;tenders.mts.ru;https://tenders.mts.ru/tenders/54138;город Москва;
71988555622;0;SBR028-2210250004;Выполнение демонтажа/монтажа камер ММС_hd или DVN_hd на предоставляемых Заказчиком объектах в г. Москва;25.10.2022 12:11;31.10.2022 12:00;-;RUB;"АО ""СИТРОНИКС"" 7735116621";7735116621;utp.sberbank-ast.ru;https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/632/0/0/1055826;город Москва;
